Formula / name r1;smiles r1;Formula / name r2;smiles r2;Arrhenius factor;T;k;E;Formula / name p3;smiles p3;Formula / name p4;smiles p4
OH;[OH-];CHFCl2;FC(Cl)Cl;1.20E-12;298;3.00E-14;1.10E+03;;;;
OH;[OH-];CHF2Cl;FC(F)Cl;1.20E-12;298;4.70E-15;1.65E+03;;;;
OH;[OH-];CHF3;FC(F)F;1.50E-12;298;2.10E-16;2.65E+03;;;;
OH;[OH-];CH2Cl2;ClCCl;5.80E-12;298;1.40E-13;1.10E+03;;;;
OH;[OH-];CH2FCl;FCCl;3.00E-12;298;4.50E-14;1.25E+03;;;;
OH;[OH-];CH2F2;FCF;2.50E-12;298;1.00E-14;1.65E+03;;;;
OH;[OH-];CH3F;CF;5.40E-12;298;1.80E-14;1.70E+03;;;;
OH;[OH-];CH4;C;2.30E-12;298;7.70E-15;1.70E+03;;;;
OH;[OH-];CHCl2CF3;FC(F)(F)C(Cl)Cl;6.40E-13;298;3.70E-14;8.50E+02;;;;
OH;[OH-];CHFClCF3;FC(Cl)C(F)(F)F;6.60E-13;298;1.00E-14;1.25E+03;;;;
OH;[OH-];CHF2CF3;FC(F)C(F)(F)F;8.90E-13;298;2.50E-15;1.75E+03;;;;
OH;[OH-];CH2ClCF2Cl;FC(F)(Cl)CCl;3.60E-12;298;1.70E-14;1.60E+03;;;;
OH;[OH-];CH2ClCF3;FC(F)(F)CCl;5.20E-13;298;1.30E-14;1.10E+03;;;;
OH;[OH-];CHF2CHF2;FC(F)C(F)F;8.70E-13;298;5.70E-15;1.50E+03;;;;
OH;[OH-];CH2FC3F;FCC(F)(F)F;1.70E-12;298;4.80E-15;1.75E+03;;;;
OH;[OH-];CH3CCl3;CC(Cl)(Cl)Cl;5.00E-12;298;1.20E-14;1.80E+03;;;;
OH;[OH-];CH3CFCl2;CC(F)(Cl)Cl;4.20E-13;298;7.50E-15;1.20E+03;;;;
OH;[OH-];CH3CF2Cl;CC(F)(F)Cl;9.60E-13;298;3.80E-15;1.65E+03;;;;
OH;[OH-];CH2FCHF2;FCC(F)F;2.80E-12;298;1.80E-14;1.50E+03;;;;
OH;[OH-];CH3CF3;CC(F)(F)F;6.00E-13;298;1.70E-15;1.75E+03;;;;
OH;[OH-];CH2FCH2F;FCCF;1.70E-11;298;1.10E-13;1.50E+03;;;;
OH;[OH-];CH3CHF2;CC(F)F;1.50E-12;298;3.70E-14;1.10E+03;;;;
OH;[OH-];CH3CH2F;CCF;1.30E-11;298;2.30E-13;1.20E+03;;;;
O atom;[O];H2;[HH];1.80E-10;1;1.00E+00;4.48E+03;OH;[OH];H atom;[H]
O atom;[O];OH;[OH];2.30E-13;1;1.00E+00;0.00E+00;O2;O=O;H atom;[H]
O atom;[O];H2O;O;6.80E-13;1;1.00E+00;9.24E+03;OH;[OH];OH;[OH]
O2;O=O;H2;[HH];5.50E-13;1;1.00E+00;2.91E+04;H2O2;OO;;
O2;O=O;S atom;[S];1.40E-12;1;1.00E+00;2.50E+01;SO2;O=S=O;;
O2;O=O;N2;N#N;6.30E-13;1;1.00E+00;5.52E+04;NO;[N]=O;NO;[N]=O
O2;O=O;NO;[N]=O;1.70E-12;1;1.00E+00;2.34E+04;NO2;[O]N=O;;
O2;O=O;CO;[C-]#[O+];2.50E-12;1;1.00E+00;2.40E+04;CO2;O=C=O;;
O3;O=[O+][O-];NO;[N]=O;8.90E-11;1;1.00E+00;1.33E+03;O2;O=O;NO2;[O]N=O
H2;[HH];CO2;O=C=O;1.00E-09;1;1.00E+00;7.55E+03;H2O;O;CO;[C-]#[O+]
OH;[OH];H2S;S;6.30E-12;1;1.00E+00;2.00E+02;H2O;O;HS;[SH]
H2O;O;NH3;N;1.00E-11;1;1.00E+00;1.50E+03;NH4OH;[NH4+].[OH-];;
S;[S];CO;[C-]#[O+];1.30E-12;1;1.00E+00;3.76E+04;COS;O=C=S;;
H2S;S;OH;[OH];1.30E-12;1;1.00E+00;2.00E+02;SH;[SH];H2O;O
AlCl3;[Cl][Al]([Cl])[Cl];H radical;[H];1.29E-15;1;1.00E+00;8.58E+01;HCl;Cl;AlCl2;[Cl][Al][Cl]
CHF2Cl;FC(F)Cl;Br2;BrBr;6.61E-13;1;1.00E+00;5.09E+01;CF2BrCl;FC(F)(Cl)Br;HBr;Br
